# entry_ts,dir,netR,exit_ts,tag(B/F) | XAUT-USDT PROXY (24/7, khong phai XAUUSD CFD) | BREAK Donchian-20 R7g | golive 2026-07-24
2026-06-19 00:00,-1,1.96,2026-06-19 05:00,B
2026-06-23 08:00,-1,-1.04,2026-06-23 10:00,B
2026-06-24 04:00,-1,-1.04,2026-06-24 06:00,B
2026-06-24 16:00,-1,-1.04,2026-06-25 15:00,B
2026-06-30 04:00,-1,-1.04,2026-06-30 04:30,B
2026-07-02 16:00,1,1.96,2026-07-06 01:30,B
2026-07-03 04:00,1,-1.04,2026-07-06 09:30,B
2026-07-08 12:00,-1,-1.04,2026-07-09 06:00,B
2026-07-13 04:00,-1,-1.04,2026-07-13 08:00,B
2026-07-13 16:00,-1,-1.04,2026-07-14 12:30,B
2026-07-21 04:00,1,1.96,2026-07-22 00:00,B
2026-07-22 04:00,1,-1.04,2026-07-23 07:00,B
2026-07-22 16:00,1,-1.04,2026-07-22 18:30,B
